"Tdif_PMMApaint_15vv - RawData"
"Wavelength nm.","T%"
1382.00,11.667
1383.00,11.704
1384.00,11.634
1385.00,11.659
1386.00,11.617
1387.00,11.615
1388.00,11.589
1389.00,11.668
1390.00,11.727
1391.00,11.759
1392.00,11.718
1393.00,11.708
1394.00,11.679
1395.00,11.660
1396.00,11.646
1397.00,11.648
1398.00,11.639
1399.00,11.595
1400.00,11.553
